,County,State,Population,State and County
1243,Clare,MI,"31,131",MI Clare
1244,Clinton,MI,"79,464",MI Clinton
1245,Crawford,MI,"13,277",MI Crawford
1246,Delta,MI,"36,825",MI Delta
1247,Dickinson,MI,"25,819",MI Dickinson
1248,Eaton,MI,"108,908",MI Eaton
1249,Emmet,MI,"34,297",MI Emmet
1250,Genesee,MI,"404,627",MI Genesee
1251,Gladwin,MI,"25,475",MI Gladwin
1252,Gogebic,MI,"14,367",MI Gogebic
1253,Grand Traverse,MI,"95,969",MI Grand Traverse
1254,Gratiot,MI,"41,286",MI Gratiot
1255,Hillsdale,MI,"45,625",MI Hillsdale
1256,Houghton,MI,"37,507",MI Houghton
1257,Huron,MI,"31,307",MI Huron
1258,Ingham,MI,"271,224",MI Ingham
1259,Ionia,MI,"66,823",MI Ionia
1260,Iosco,MI,"25,350",MI Iosco
1261,Iron,MI,"11,610",MI Iron
1262,Isabella,MI,"64,248",MI Isabella
1263,Jackson,MI,"160,162",MI Jackson
1264,Kalamazoo,MI,"260,523",MI Kalamazoo
1265,Kalkaska,MI,"17,994",MI Kalkaska
1266,Kent,MI,"658,852",MI Kent
1267,Keweenaw,MI,"2,108",MI Keweenaw
1268,Lake,MI,"12,274",MI Lake
1269,Lapeer,MI,"88,662",MI Lapeer
1270,Leelanau,MI,"22,627",MI Leelanau
1271,Lenawee,MI,"99,100",MI Lenawee
1272,Livingston,MI,"195,333",MI Livingston
1273,Luce,MI,"5,977",MI Luce
1274,Mackinac,MI,"10,907",MI Mackinac
1275,Macomb,MI,"877,646",MI Macomb
1276,Manistee,MI,"25,328",MI Manistee
1277,Marquette,MI,"65,739",MI Marquette
1278,Mason,MI,"29,339",MI Mason
1279,Mecosta,MI,"40,048",MI Mecosta
1280,Menominee,MI,"23,317",MI Menominee
1281,Midland,MI,"83,479",MI Midland
1282,Missaukee,MI,"15,173",MI Missaukee
1283,Monroe,MI,"155,534",MI Monroe
1284,Montcalm,MI,"67,320",MI Montcalm
1285,Montmorency,MI,"9,302",MI Montmorency
1286,Muskegon,MI,"175,550",MI Muskegon
1287,Newaygo,MI,"50,413",MI Newaygo
1288,Oakland,MI,"1,272,630",MI Oakland
1289,Oceana,MI,"26,860",MI Oceana
1290,Ogemaw,MI,"20,774",MI Ogemaw
1291,Ontonagon,MI,"5,870",MI Ontonagon
1292,Osceola,MI,"23,196",MI Osceola
1293,Oscoda,MI,"8,320",MI Oscoda
1294,Otsego,MI,"25,324",MI Otsego
1295,Ottawa,MI,"298,393",MI Ottawa
1296,Presque Isle,MI,"13,172",MI Presque Isle
1297,Roscommon,MI,"23,653",MI Roscommon
1298,Saginaw,MI,"189,516",MI Saginaw
1299,St Clair,MI,"160,205",MI St Clair
1300,St Joseph,MI,"60,844",MI St Joseph
1301,Sanilac,MI,"40,528",MI Sanilac
1302,Schoolcraft,MI,"8,048",MI Schoolcraft
1303,Shiawassee,MI,"67,991",MI Shiawassee
1304,Tuscola,MI,"53,034",MI Tuscola
1305,Van Buren,MI,"75,678",MI Van Buren
1306,Washtenaw,MI,"365,013",MI Washtenaw
1307,Wayne,MI,"1,774,807",MI Wayne
1308,Wexford,MI,"33,898",MI Wexford
1309,Aitkin,MN,"15,957",MN Aitkin
1310,Anoka,MN,"367,802",MN Anoka
1311,Becker,MN,"35,336",MN Becker
1312,Beltrami,MN,"46,481",MN Beltrami
1313,Benton,MN,"41,533",MN Benton
1314,Big Stone,MN,"5,167",MN Big Stone
1315,Blue Earth,MN,"69,380",MN Blue Earth
1316,Brown,MN,"25,899",MN Brown
1317,Carlton,MN,"36,440",MN Carlton
1318,Carver,MN,"108,859",MN Carver
1319,Cass,MN,"30,682",MN Cass
1320,Chippewa,MN,"12,372",MN Chippewa
1321,Chisago,MN,"57,549",MN Chisago
1322,Clay,MN,"65,651",MN Clay
1323,Clearwater,MN,"8,582",MN Clearwater
1324,Cook,MN,"5,629",MN Cook
1325,Cottonwood,MN,"11,594",MN Cottonwood
1326,Crow Wing,MN,"67,342",MN Crow Wing
1327,Dakota,MN,"442,730",MN Dakota
1328,Dodge,MN,"20,952",MN Dodge
1329,Douglas,MN,"39,298",MN Douglas
1330,Faribault,MN,"13,906",MN Faribault
1331,Fillmore,MN,"21,331",MN Fillmore
1332,Freeborn,MN,"30,803",MN Freeborn
1333,Goodhue,MN,"48,042",MN Goodhue
1334,Grant,MN,"6,149",MN Grant
1335,Hennepin,MN,"1,270,055",MN Hennepin
1336,Houston,MN,"18,819",MN Houston
1337,Hubbard,MN,"21,749",MN Hubbard
1338,Isanti,MN,"41,962",MN Isanti
1339,Itasca,MN,"45,099",MN Itasca
1340,Jackson,MN,"10,005",MN Jackson
1341,Kanabec,MN,"16,170",MN Kanabec
1342,Kandiyohi,MN,"43,809",MN Kandiyohi
1343,Kittson,MN,"4,178",MN Kittson
1344,Koochiching,MN,"11,943",MN Koochiching
1345,Lac qui Parle,MN,"6,700",MN Lac qui Parle
1346,Lake,MN,"11,004",MN Lake
1347,Lake of the Woods,MN,"3,826",MN Lake of the Woods
1348,Le Sueur,MN,"28,900",MN Le Sueur
1349,Lincoln,MN,"5,576",MN Lincoln
1350,Lyon,MN,"25,492",MN Lyon
1351,McLeod,MN,"36,815",MN McLeod
1352,Mahnomen,MN,"5,403",MN Mahnomen
1353,Marshall,MN,"8,997",MN Marshall
1354,Martin,MN,"19,923",MN Martin
1355,Meeker,MN,"23,403",MN Meeker
1356,Mille Lacs,MN,"26,913",MN Mille Lacs
1357,Morrison,MN,"34,079",MN Morrison
1358,Mower,MN,"40,219",MN Mower
1359,Murray,MN,"8,133",MN Murray
1360,Nicollet,MN,"34,348",MN Nicollet
1361,Nobles,MN,"22,070",MN Nobles
1362,Norman,MN,"6,441",MN Norman
1363,Olmsted,MN,"163,742",MN Olmsted
1364,Otter Tail,MN,"60,231",MN Otter Tail
1365,Pennington,MN,"13,781",MN Pennington
1366,Pine,MN,"29,414",MN Pine
1367,Pipestone,MN,"9,354",MN Pipestone
1368,Polk,MN,"30,819",MN Polk
1369,Pope,MN,"11,410",MN Pope
1370,Ramsey,MN,"544,025",MN Ramsey
1371,Red Lake,MN,"3,945",MN Red Lake
1372,Redwood,MN,"15,388",MN Redwood
1373,Renville,MN,"14,605",MN Renville
1374,Rice,MN,"67,341",MN Rice
1375,Rock,MN,"9,685",MN Rock
1376,Roseau,MN,"15,274",MN Roseau
1377,St Louis,MN,"199,521",MN St Louis
1378,Scott,MN,"153,611",MN Scott
1379,Sherburne,MN,"99,211",MN Sherburne
1380,Sibley,MN,"14,923",MN Sibley
1381,Stearns,MN,"159,204",MN Stearns
1382,Steele,MN,"37,427",MN Steele
1383,Stevens,MN,"9,689",MN Stevens
1384,Swift,MN,"9,782",MN Swift
1385,Todd,MN,"25,288",MN Todd
1386,Traverse,MN,"3,272",MN Traverse
1387,Wabasha,MN,"21,515",MN Wabasha
1388,Wadena,MN,"14,141",MN Wadena
1389,Waseca,MN,"19,002",MN Waseca
1390,Washington,MN,"272,865",MN Washington
1391,Watonwan,MN,"11,164",MN Watonwan
1392,Wilkin,MN,"6,411",MN Wilkin
1393,Winona,MN,"49,788",MN Winona
1394,Wright,MN,"145,204",MN Wright
1395,Yellow Medicine,MN,"9,439",MN Yellow Medicine
1396,Adams,MS,"28,846",MS Adams
1397,Alcorn,MS,"34,398",MS Alcorn
1398,Amite,MS,"12,622",MS Amite
1399,Attala,MS,"17,715",MS Attala
1400,Benton,MS,"7,638",MS Benton
1401,Bolivar,MS,"30,201",MS Bolivar
1402,Calhoun,MS,"12,961",MS Calhoun
1403,Carroll,MS,"9,822",MS Carroll
1404,Chickasaw,MS,"17,007",MS Chickasaw
1405,Choctaw,MS,"8,137",MS Choctaw
1406,Claiborne,MS,"8,886",MS Claiborne
1407,Clarke,MS,"15,415",MS Clarke
1408,Clay,MS,"18,481",MS Clay
1409,Coahoma,MS,"20,721",MS Coahoma
1410,Copiah,MS,"27,922",MS Copiah
1411,Covington,MS,"18,273",MS Covington
1412,DeSoto,MS,"189,004",MS DeSoto
1413,Forrest,MS,"77,869",MS Forrest
1414,Franklin,MS,"7,687",MS Franklin
1415,George,MS,"24,788",MS George
1416,Greene,MS,"13,648",MS Greene
1417,Grenada,MS,"21,330",MS Grenada
1418,Hancock,MS,"46,005",MS Hancock
1419,Harrison,MS,"209,485",MS Harrison
1420,Hinds,MS,"222,464",MS Hinds
1421,Holmes,MS,"16,508",MS Holmes
1422,Humphreys,MS,"7,566",MS Humphreys
1423,Issaquena,MS,"1,294",MS Issaquena
1424,Itawamba,MS,"23,885",MS Itawamba
1425,Jackson,MS,"144,459",MS Jackson
1426,Jasper,MS,"16,232",MS Jasper
1427,Jefferson,MS,"7,136",MS Jefferson
1428,Jefferson Davis,MS,"11,163",MS Jefferson Davis
1429,Jones,MS,"66,813",MS Jones
1430,Kemper,MS,"8,801",MS Kemper
1431,Lafayette,MS,"56,902",MS Lafayette
1432,Lamar,MS,"65,409",MS Lamar
1433,Lauderdale,MS,"71,937",MS Lauderdale
1434,Lawrence,MS,"11,781",MS Lawrence
1435,Leake,MS,"21,260",MS Leake
1436,Lee,MS,"83,008",MS Lee
1437,Leflore,MS,"27,425",MS Leflore
1438,Lincoln,MS,"34,939",MS Lincoln
1439,Lowndes,MS,"58,160",MS Lowndes
1440,Madison,MS,"109,991",MS Madison
1441,Marion,MS,"24,304",MS Marion
1442,Marshall,MS,"33,755",MS Marshall
1443,Monroe,MS,"33,922",MS Monroe
1444,Montgomery,MS,"9,699",MS Montgomery
1445,Neshoba,MS,"28,908",MS Neshoba
1446,Newton,MS,"21,120",MS Newton
1447,Noxubee,MS,"10,116",MS Noxubee
1448,Oktibbeha,MS,"51,812",MS Oktibbeha
1449,Panola,MS,"32,908",MS Panola
1450,Pearl River,MS,"56,480",MS Pearl River
1451,Perry,MS,"11,500",MS Perry
1452,Pike,MS,"40,010",MS Pike
1453,Pontotoc,MS,"31,325",MS Pontotoc
1454,Prentiss,MS,"24,962",MS Prentiss
1455,Quitman,MS,"5,900",MS Quitman
1456,Rankin,MS,"158,123",MS Rankin
1457,Scott,MS,"27,603",MS Scott
1458,Sharkey,MS,"3,626",MS Sharkey
1459,Simpson,MS,"25,702",MS Simpson
1460,Smith,MS,"14,191",MS Smith
1461,Stone,MS,"18,578",MS Stone
1462,Sunflower,MS,"25,329",MS Sunflower
1463,Tallahatchie,MS,"12,305",MS Tallahatchie
1464,Tate,MS,"28,103",MS Tate
1465,Tippah,MS,"21,625",MS Tippah
1466,Tishomingo,MS,"18,734",MS Tishomingo
1467,Tunica,MS,"9,642",MS Tunica
1468,Union,MS,"28,033",MS Union
1469,Walthall,MS,"13,830",MS Walthall
1470,Warren,MS,"43,430",MS Warren
1471,Washington,MS,"43,626",MS Washington
1472,Wayne,MS,"19,669",MS Wayne
1473,Webster,MS,"9,970",MS Webster
1474,Wilkinson,MS,"8,305",MS Wilkinson
1475,Winston,MS,"17,580",MS Winston
1476,Yalobusha,MS,"12,439",MS Yalobusha
1477,Yazoo,MS,"26,424",MS Yazoo
1478,Adair,MO,"25,188",MO Adair
1479,Andrew,MO,"18,015",MO Andrew
1480,Atchison,MO,"5,210",MO Atchison
1481,Audrain,MO,"24,861",MO Audrain
1482,Barry,MO,"34,762",MO Barry
1483,Barton,MO,"11,665",MO Barton
1484,Bates,MO,"16,095",MO Bates
1485,Benton,MO,"19,934",MO Benton
1486,Bollinger,MO,"10,586",MO Bollinger
1487,Boone,MO,"186,115",MO Boone
1488,Buchanan,MO,"83,623",MO Buchanan
1489,Butler,MO,"42,170",MO Butler
1490,Caldwell,MO,"8,904",MO Caldwell
1491,Callaway,MO,"44,640",MO Callaway
1492,Camden,MO,"43,507",MO Camden
1493,Cape Girardeau,MO,"82,132",MO Cape Girardeau
1494,Carroll,MO,"8,398",MO Carroll
1495,Carter,MO,"5,321",MO Carter
1496,Cass,MO,"109,780",MO Cass
1497,Cedar,MO,"14,515",MO Cedar
1498,Chariton,MO,"7,361",MO Chariton
1499,Christian,MO,"91,616",MO Christian
1500,Clark,MO,"6,735",MO Clark
1501,Clay,MO,"255,871",MO Clay
1502,Clinton,MO,"21,213",MO Clinton
1503,Cole,MO,"76,603",MO Cole
1504,Cooper,MO,"16,676",MO Cooper
1505,Crawford,MO,"22,820",MO Crawford
1506,Dade,MO,"7,596",MO Dade
1507,Dallas,MO,"17,336",MO Dallas
1508,Daviess,MO,"8,400",MO Daviess
1509,DeKalb,MO,"11,690",MO DeKalb
1510,Dent,MO,"14,454",MO Dent
1511,Douglas,MO,"11,749",MO Douglas
1512,Dunklin,MO,"27,743",MO Dunklin
1513,Franklin,MO,"105,307",MO Franklin
1514,Gasconade,MO,"14,780",MO Gasconade
1515,Gentry,MO,"6,184",MO Gentry
1516,Greene,MO,"301,098",MO Greene
1517,Grundy,MO,"9,757",MO Grundy
1518,Harrison,MO,"8,184",MO Harrison
1519,Henry,MO,"22,208",MO Henry
1520,Hickory,MO,"8,572",MO Hickory
1521,Holt,MO,"4,232",MO Holt
1522,Howard,MO,"10,145",MO Howard
1523,Howell,MO,"40,016",MO Howell
1524,Iron,MO,"9,429",MO Iron
1525,Jackson,MO,"717,875",MO Jackson
1526,Jasper,MO,"123,324",MO Jasper
1527,Jefferson,MO,"227,993",MO Jefferson
1528,Johnson,MO,"54,194",MO Johnson
1529,Knox,MO,"3,785",MO Knox
1530,Laclede,MO,"36,156",MO Laclede
1531,Lafayette,MO,"32,834",MO Lafayette
1532,Lawrence,MO,"38,268",MO Lawrence
1533,Lewis,MO,"9,994",MO Lewis
1534,Lincoln,MO,"61,640",MO Lincoln
1535,Linn,MO,"11,842",MO Linn
1536,Livingston,MO,"14,191",MO Livingston
1537,McDonald,MO,"23,429",MO McDonald
1538,Macon,MO,"15,178",MO Macon
1539,Madison,MO,"12,664",MO Madison
1540,Maries,MO,"8,417",MO Maries
1541,Marion,MO,"28,556",MO Marion
1542,Mercer,MO,"3,481",MO Mercer
1543,Miller,MO,"24,941",MO Miller
1544,Mississippi,MO,"12,105",MO Mississippi
1545,Moniteau,MO,"15,310",MO Moniteau
1546,Monroe,MO,"8,701",MO Monroe
1547,Montgomery,MO,"11,433",MO Montgomery
1548,Morgan,MO,"21,430",MO Morgan
1549,New Madrid,MO,"16,035",MO New Madrid
1550,Newton,MO,"59,440",MO Newton
1551,Nodaway,MO,"20,983",MO Nodaway
1552,Oregon,MO,"8,625",MO Oregon
1553,Osage,MO,"13,398",MO Osage
1554,Ozark,MO,"8,785",MO Ozark
1555,Pemiscot,MO,"15,241",MO Pemiscot
1556,Perry,MO,"18,972",MO Perry
1557,Pettis,MO,"43,213",MO Pettis
1558,Phelps,MO,"44,899",MO Phelps
1559,Pike,MO,"17,596",MO Pike
1560,Platte,MO,"108,744",MO Platte
1561,Polk,MO,"32,042",MO Polk
1562,Pulaski,MO,"53,815",MO Pulaski
1563,Putnam,MO,"4,695",MO Putnam
1564,Ralls,MO,"10,368",MO Ralls
1565,Randolph,MO,"24,563",MO Randolph
1566,Ray,MO,"23,089",MO Ray
1567,Reynolds,MO,"6,084",MO Reynolds
1568,Ripley,MO,"10,645",MO Ripley
1569,St Charles,MO,"410,465",MO St Charles
1570,St Clair,MO,"9,413",MO St Clair
1571,Ste Genevieve,MO,"18,569",MO Ste Genevieve
1572,St Francois,MO,"67,010",MO St Francois
1573,St Louis,MO,"998,439",MO St Louis
1574,Saline,MO,"23,253",MO Saline
1575,Schuyler,MO,"4,015",MO Schuyler
1576,Scotland,MO,"4,674",MO Scotland
1577,Scott,MO,"37,886",MO Scott
1578,Shannon,MO,"7,090",MO Shannon
1579,Shelby,MO,"5,965",MO Shelby
1580,Stoddard,MO,"28,519",MO Stoddard
1581,Stone,MO,"31,592",MO Stone
1582,Sullivan,MO,"5,898",MO Sullivan
1583,Taney,MO,"56,304",MO Taney
1584,Texas,MO,"24,868",MO Texas
1585,Vernon,MO,"19,588",MO Vernon
1586,Warren,MO,"36,551",MO Warren
1587,Washington,MO,"23,392",MO Washington
1588,Wayne,MO,"10,922",MO Wayne
1589,Webster,MO,"39,601",MO Webster
1590,Worth,MO,"1,967",MO Worth
1591,Wright,MO,"18,621",MO Wright
1592,City of St Louis,MO,"293,622",MO City of St Louis
1593,Beaverhead,MT,"9,553",MT Beaverhead
1594,Big Horn,MT,"12,893",MT Big Horn
1595,Blaine,MT,"7,003",MT Blaine
1596,Broadwater,MT,"7,323",MT Broadwater
1597,Carbon,MT,"10,889",MT Carbon
1598,Carter,MT,"1,413",MT Carter
1599,Cascade,MT,"84,551",MT Cascade
1600,Chouteau,MT,"5,921",MT Chouteau
1601,Custer,MT,"11,961",MT Custer
1602,Daniels,MT,"1,671",MT Daniels
1603,Dawson,MT,"8,858",MT Dawson
1604,Deer Lodge,MT,"9,518",MT Deer Lodge
1605,Fallon,MT,"3,011",MT Fallon
1606,Fergus,MT,"11,622",MT Fergus
1607,Flathead,MT,"108,769",MT Flathead
1608,Gallatin,MT,"123,098",MT Gallatin
1609,Glacier,MT,"13,724",MT Glacier
1610,Golden Valley,MT,815,MT Golden Valley
1611,Granite,MT,"3,360",MT Granite
1612,Hill,MT,"16,220",MT Hill
1613,Jefferson,MT,"12,468",MT Jefferson
1614,Judith Basin,MT,"2,038",MT Judith Basin
1615,Lake,MT,"32,090",MT Lake
1616,Lewis and Clark,MT,"72,507",MT Lewis and Clark
1617,Liberty,MT,"1,933",MT Liberty
1618,Lincoln,MT,"20,582",MT Lincoln
1619,McCone,MT,"1,709",MT McCone
1620,Madison,MT,"8,953",MT Madison
1621,Meagher,MT,"1,958",MT Meagher
1622,Mineral,MT,"4,859",MT Mineral
1623,Missoula,MT,"119,841",MT Missoula
1624,Musselshell,MT,"4,908",MT Musselshell
1625,Park,MT,"17,515",MT Park
1626,Petroleum,MT,518,MT Petroleum
1627,Phillips,MT,"4,210",MT Phillips
1628,Pondera,MT,"6,018",MT Pondera
1629,Powder River,MT,"1,710",MT Powder River
1630,Powell,MT,"7,025",MT Powell
1631,Prairie,MT,"1,097",MT Prairie
1632,Ravalli,MT,"46,084",MT Ravalli
1633,Richland,MT,"11,329",MT Richland
1634,Roosevelt,MT,"10,788",MT Roosevelt
1635,Rosebud,MT,"8,086",MT Rosebud
1636,Sanders,MT,"12,944",MT Sanders
1637,Sheridan,MT,"3,576",MT Sheridan
1638,Silver Bow,MT,"35,502",MT Silver Bow
1639,Stillwater,MT,"9,024",MT Stillwater
1640,Sweet Grass,MT,"3,702",MT Sweet Grass
1641,Teton,MT,"6,275",MT Teton
1642,Toole,MT,"4,992",MT Toole
1643,Treasure,MT,768,MT Treasure
1644,Valley,MT,"7,560",MT Valley
1645,Wheatland,MT,"2,042",MT Wheatland
1646,Wibaux,MT,936,MT Wibaux
1647,Yellowstone,MT,"167,438",MT Yellowstone
1648,Adams,NE,"30,967",NE Adams
1649,Antelope,NE,"6,295",NE Antelope
1650,Arthur,NE,432,NE Arthur
1651,Banner,NE,690,NE Banner
1652,Blaine,NE,462,NE Blaine
1653,Boone,NE,"5,382",NE Boone
1654,Box Butte,NE,"10,663",NE Box Butte
1655,Boyd,NE,"1,780",NE Boyd
1656,Brown,NE,"2,913",NE Brown
1657,Buffalo,NE,"50,300",NE Buffalo
1658,Burt,NE,"6,709",NE Burt
1659,Butler,NE,"8,454",NE Butler
1660,Cass,NE,"27,080",NE Cass
1661,Cedar,NE,"8,332",NE Cedar
1662,Chase,NE,"3,824",NE Chase
1663,Cherry,NE,"5,447",NE Cherry
1664,Cheyenne,NE,"9,498",NE Cheyenne
1665,Clay,NE,"6,039",NE Clay
1666,Colfax,NE,"10,477",NE Colfax
1667,Cuming,NE,"8,990",NE Cuming
1668,Custer,NE,"10,486",NE Custer
1669,Dakota,NE,"21,282",NE Dakota
1670,Dawes,NE,"8,149",NE Dawes
1671,Dawson,NE,"23,934",NE Dawson
1672,Deuel,NE,"1,847",NE Deuel
1673,Dixon,NE,"5,570",NE Dixon
1674,Dodge,NE,"37,128",NE Dodge
1675,Douglas,NE,"585,452",NE Douglas
1676,Dundy,NE,"1,633",NE Dundy
1677,Fillmore,NE,"5,559",NE Fillmore
1678,Franklin,NE,"2,878",NE Franklin
1679,Frontier,NE,"2,544",NE Frontier
1680,Furnas,NE,"4,607",NE Furnas
1681,Gage,NE,"21,633",NE Gage
1682,Garden,NE,"1,838",NE Garden
1683,Garfield,NE,"1,833",NE Garfield
1684,Gosper,NE,"1,829",NE Gosper
1685,Grant,NE,577,NE Grant
1686,Greeley,NE,"2,181",NE Greeley
1687,Hall,NE,"62,075",NE Hall
1688,Hamilton,NE,"9,384",NE Hamilton
1689,Harlan,NE,"3,097",NE Harlan
1690,Hayes,NE,850,NE Hayes
1691,Hitchcock,NE,"2,599",NE Hitchcock
1692,Holt,NE,"10,052",NE Holt
1693,Hooker,NE,732,NE Hooker
1694,Howard,NE,"6,521",NE Howard
1695,Jefferson,NE,"7,159",NE Jefferson
1696,Johnson,NE,"5,314",NE Johnson
1697,Kearney,NE,"6,683",NE Kearney
1698,Keith,NE,"8,253",NE Keith
1699,Keya Paha,NE,796,NE Keya Paha
1700,Kimball,NE,"3,411",NE Kimball
1701,Knox,NE,"8,406",NE Knox
1702,Lancaster,NE,"323,404",NE Lancaster
1703,Lincoln,NE,"34,074",NE Lincoln
1704,Logan,NE,685,NE Logan
1705,Loup,NE,604,NE Loup
1706,McPherson,NE,381,NE McPherson
1707,Madison,NE,"35,395",NE Madison
1708,Merrick,NE,"7,667",NE Merrick
1709,Morrill,NE,"4,569",NE Morrill
1710,Nance,NE,"3,375",NE Nance
1711,Nemaha,NE,"7,004",NE Nemaha
1712,Nuckolls,NE,"4,071",NE Nuckolls
1713,Otoe,NE,"16,017",NE Otoe
1714,Pawnee,NE,"2,538",NE Pawnee
1715,Perkins,NE,"2,819",NE Perkins
1716,Phelps,NE,"8,923",NE Phelps
1717,Pierce,NE,"7,319",NE Pierce
1718,Platte,NE,"34,295",NE Platte
1719,Polk,NE,"5,191",NE Polk
1720,Red Willow,NE,"10,620",NE Red Willow
1721,Richardson,NE,"7,786",NE Richardson
1722,Rock,NE,"1,275",NE Rock
1723,Saline,NE,"14,525",NE Saline
1724,Sarpy,NE,"193,826",NE Sarpy
1725,Saunders,NE,"22,832",NE Saunders
1726,Scotts Bluff,NE,"35,904",NE Scotts Bluff
1727,Seward,NE,"17,556",NE Seward
1728,Sheridan,NE,"5,083",NE Sheridan
1729,Sherman,NE,"2,966",NE Sherman
1730,Sioux,NE,"1,146",NE Sioux
1731,Stanton,NE,"5,837",NE Stanton
1732,Thayer,NE,"4,888",NE Thayer
1733,Thomas,NE,676,NE Thomas
1734,Thurston,NE,"6,633",NE Thurston
1735,Valley,NE,"4,062",NE Valley
1736,Washington,NE,"20,991",NE Washington
1737,Wayne,NE,"9,864",NE Wayne
1738,Webster,NE,"3,402",NE Webster
1739,Wheeler,NE,785,NE Wheeler
1740,York,NE,"14,239",NE York
1741,Churchill,NV,"25,664",NV Churchill
1742,Clark,NV,"2,295,310",NV Clark
1743,Douglas,NV,"49,999",NV Douglas
1744,Elko,NV,"53,852",NV Elko
